month,venue,experience,visibility,trust,conversion,prestige,overall
2026-04,Vintner Wine Bar,8.7,8.23,7.21,5.5,1.5,7.03
2026-04,Arrow Mill,9.42,8.5,9.74,5.5,1.5,7.94
2026-04,Arrow Mill,9.42,8.5,9.73,5.5,1.5,7.93
2026-04,Vintner Wine Bar,8.73,9.73,7.2,5.5,1.5,7.34
2026-04,Impasto Micro-Pizzeria,8.96,3.08,7.78,2.5,1.5,5.77
2026-04,Shakespeare's,8.38,3.88,7.64,2.5,1.5,5.73
2026-04,Vintner Wine Bar,8.73,9.73,7.2,5.5,1.5,7.34
2026-04,Vintner Wine Bar,8.73,9.73,7.2,5.5,1.5,7.34
2026-04,The Tea Shed,8.72,1.44,7.21,,1.5,5.71
2026-04,Shakespeare's,8.38,3.88,7.64,2.5,1.5,5.73
2026-04,Impasto Micro-Pizzeria,8.96,3.08,7.78,2.5,1.5,5.77
2026-04,Sans Oriental Restaurant,8.49,3.36,8.96,5.0,1.5,6.36
2026-04,Carluccio's,9.07,3.55,8.43,3.5,0.0,6.06
2026-04,The Bridge,9.42,3.39,7.11,3.5,1.5,5.96
2026-04,Lambs,9.65,3.88,8.68,3.5,1.5,6.52
2026-04,Pick Thai Ltd,8.49,3.2,8.89,2.5,1.5,5.93
2026-04,Oxheart,10,2.57,9.87,2.5,1.5,6.51
2026-04,Cafe Chutneys,6.98,3.37,6.09,3.5,0.0,4.82
2026-04,Chopstix South,6.62,2.4,7.93,2.5,0.0,4.82
2026-04,The Bell Inn,8.49,3.82,7.82,3.5,1.5,5.94
2026-04,Starbucks -  Southbound,7.79,4.0,7.94,2.5,0.0,5.5
2026-04,The Olde Mint,7.79,2.98,8.07,3.5,0.0,5.48
2026-04,Ferment And Flour (Bastardos),8.95,2.45,8.82,2.5,0.0,5.75
2026-04,Cafe Des Fleurs,9.42,3.25,8.31,3.5,1.5,6.23
2026-04,Southam Gateway Coffee Shop Ltd,9.65,3.0,7.62,3.5,1.5,6.08
2026-04,Lexi's Loving Spoonful,9.18,2.09,7.78,,0.0,6.02
2026-04,Pizza Junction Kineton Ltd,8.72,3.11,8.56,2.5,1.5,5.9
2026-04,The George Hotel,8.38,3.78,8.32,3.5,1.5,6.03
2026-04,The Sandwich Shop,8.96,2.18,7.13,2.5,1.5,5.43
2026-04,Gardener's Retreat,7.21,1.57,8.76,2.5,0.0,5.04
2026-04,The Straw Kitchen,9.88,3.32,7.16,3.5,1.5,6.09
2026-04,The Spice Room,8.49,3.09,8.67,4.0,1.5,6.08
2026-04,The Tea Shed,8.72,1.44,7.21,,1.5,5.71
2026-04,Shakespeare's,8.38,3.88,7.64,2.5,1.5,5.73
2026-04,Impasto Micro-Pizzeria,8.96,3.08,7.78,2.5,1.5,5.77
2026-04,Sans Oriental Restaurant,8.49,3.36,8.96,5.0,1.5,6.36
2026-04,Carluccio's,9.07,3.55,8.43,3.5,0.0,6.06
2026-04,The Bridge,9.42,3.39,7.11,3.5,1.5,5.96
2026-04,Lambs,9.65,3.88,8.68,3.5,1.5,6.52
2026-04,Pick Thai Ltd,8.49,3.2,8.89,2.5,1.5,5.93
2026-04,Oxheart,10,2.57,9.87,2.5,1.5,6.51
2026-04,Cafe Chutneys,6.98,3.37,6.09,3.5,0.0,4.82
2026-04,Chopstix South,6.62,2.4,7.93,2.5,0.0,4.82
2026-04,The Bell Inn,8.49,3.82,7.82,3.5,1.5,5.94
2026-04,Starbucks -  Southbound,7.79,4.0,7.94,2.5,0.0,5.5
2026-04,The Olde Mint,7.79,2.98,8.07,3.5,0.0,5.48
2026-04,Ferment And Flour (Bastardos),8.95,2.45,8.82,2.5,0.0,5.75
2026-04,Cafe Des Fleurs,9.42,3.25,8.31,3.5,1.5,6.23
2026-04,Southam Gateway Coffee Shop Ltd,9.65,3.0,7.62,3.5,1.5,6.08
2026-04,Lexi's Loving Spoonful,9.18,2.09,7.78,,0.0,6.02
2026-04,Pizza Junction Kineton Ltd,8.72,3.11,8.56,2.5,1.5,5.9
2026-04,The George Hotel,8.38,3.78,8.32,3.5,1.5,6.03
2026-04,The Sandwich Shop,8.96,2.18,7.13,2.5,1.5,5.43
2026-04,Gardener's Retreat,7.21,1.57,8.76,2.5,0.0,5.04
2026-04,The Straw Kitchen,9.88,3.32,7.16,3.5,1.5,6.09
2026-04,The Spice Room,8.49,3.09,8.67,4.0,1.5,6.08
2026-04,Coughton Court Cafe,9.0,2.34,0.0,,1.5,3.9
2026-04,CAMEO Lunch Club,8.03,1.89,5.57,,0.0,4.92
2026-04,The Margin,8.14,2.91,7.67,4.0,0.0,5.54
2026-04,GAIL's Stratford-Upon-Avon,9.18,3.12,8.23,2.5,0.0,5.81
2026-04,Subway,5.36,3.32,5.8,5.0,0.0,4.47
2026-04,The Opposition,8.72,3.57,8.44,3.5,1.5,6.12
2026-04,Bistrot Pierre,8.2,3.76,9.31,3.5,0.0,6.06
2026-04,Cafe 16,8.61,3.27,8.64,3.5,1.5,6.07
2026-04,Ettington Garden Cafe,9.65,2.91,8.69,2.5,1.5,6.17
2026-04,South Costa,9.65,3.6,8.0,,1.5,6.78
2026-04,Escape Arts,10,0.15,7.06,2.5,1.5,5.32
2026-04,Paul's Catering,10,0.36,7.35,2.5,1.5,5.43
2026-04,Starbucks Drive Thru,8.13,3.6,9.79,5.0,0.0,6.36
2026-04,KFC - Southbound,6.97,3.45,9.15,5.0,0.0,5.82
2026-04,Good Breakfast,7.68,4.0,8.14,2.5,0.0,5.51
2026-04,Lounge@26,9.42,3.24,8.13,3.5,1.5,6.18
2026-04,Cotswold Distillery Cafe,9.88,3.84,7.58,2.5,1.5,6.15
2026-04,Bidford Community Fridge & Cafe,9.77,3.19,7.94,2.5,1.5,6.08
2026-04,Stratford Manor Hotel,8.83,3.83,9.6,2.5,0.0,6.19
2026-04,Shah's,9.65,3.41,8.14,3.5,1.5,6.29
2026-04,The Kings Head,9.18,3.99,8.45,3.5,0.0,6.19
2026-04,The Yew Tree,8.61,3.46,6.85,3.5,1.5,5.66
2026-04,International Circus Churros 2,9.53,3.5,8.0,2.5,1.5,6.08
2026-04,Ettington Park Hotel,9.65,3.78,8.02,2.5,1.5,6.18
2026-04,The Alcester Inn,7.91,3.55,9.65,2.5,0.0,5.87
2026-04,Welcombe Hotel Golf Resort \& Spa,5.71,3.88,5.51,2.5,0.0,4.24
2026-04,The Bishops Fryer,9.18,2.87,8.16,5.0,0.0,6.12
2026-04,Tzatziki34,7.91,3.38,7.26,,0.0,5.72
2026-04,The Avon Lounge,8.95,2.95,7.55,2.5,0.0,5.54
2026-04,Soma,9.65,3.07,8.46,2.5,1.5,6.15
2026-04,Bumbles,9.77,3.35,7.79,2.5,1.5,6.07
2026-04,New Summer Palace Restaurant,6.75,3.56,4.92,3.5,0.0,4.49
2026-04,Lithos Restaurant,10,2.91,9.75,2.5,1.5,6.54
2026-04,The Crofts Cafe Also Trading As New York Pizzas,7.5,,7.96,,0.0,6.52
2026-04,Pizza Hut Restaurants - Dine In,9.42,3.97,7.59,2.5,1.5,6.04
2026-04,The Coach House,8.03,3.58,7.93,3.5,0.0,5.63
2026-04,The Phoenix,9.65,3.34,7.78,5.0,1.5,6.41
2026-04,Bannatyne Health Club And Spa Wildmoor,9.18,3.56,7.93,2.5,0.0,5.82
2026-04,Corte Campana,8.61,3.53,7.6,2.5,1.5,5.71
2026-04,McDonald's,7.56,4.0,9.51,3.5,0.0,5.97
2026-04,Coffee#1 Limited,9.07,3.57,7.12,1.0,0.0,5.37
2026-04,The Garden Cafe,9.53,3.83,8.74,2.5,1.5,6.33
2026-04,Shakespaw Cat Cafe,9.53,3.76,9.4,3.5,1.5,6.64
2026-04,Ragley Hall Catering,9.53,3.88,7.85,,1.5,6.76
2026-04,The Long Itch Diner,9.3,3.72,5.67,5.0,0.0,5.7
2026-04,Mount Everest Nepalese Cuisine,7.33,3.37,3.79,3.5,1.5,4.5
2026-04,LeBuns,9.07,3.37,8.88,3.5,0.0,6.14
2026-04,Hobsons Patisseries,7.1,3.86,5.57,3.5,0.0,4.82
2026-04,Costa,8.95,3.57,9.63,3.5,0.0,6.33
2026-04,Gilks' Garage Cafe,9.77,3.75,9.2,3.5,1.5,6.66
2026-04,Wildwood Kitchen,9.18,3.79,6.24,3.5,0.0,5.6
2026-04,Havilands Tea Room And Restaurant,5.59,3.35,2.4,,0.0,3.47
2026-04,Cinnamon Arch,8.61,2.8,7.36,2.5,1.5,5.51
2026-04,Dec X Canteen,9.65,3.6,7.63,,1.5,6.67
2026-04,Blue Bean Coffee Shop,8.61,3.24,7.11,3.5,1.5,5.68
2026-04,Snitterfield Arms,9.65,3.02,8.68,2.5,1.5,6.19
2026-04,The Townhouse Also Trading As JR Hotel And Restaurants LTD,9.3,3.59,9.16,3.5,0.0,6.32
2026-04,Gardener's Retreat,7.68,2.18,7.05,2.5,0.0,4.88
2026-04,Mor,9.53,3.35,8.18,2.5,1.5,6.1
2026-04,Premier Inn,9.18,3.94,7.61,,0.0,6.41
2026-04,The Balti Hut,7.91,3.13,6.82,4.0,0.0,5.3
2026-04,Bardia's,8.49,3.48,5.05,2.5,1.5,5.03
2026-04,Costa Coffee,10,1.32,9.03,2.5,1.5,6.05
2026-04,The Pavillion,9.42,4.0,8.05,3.5,1.5,6.31
2026-04,Costa,8.83,3.46,7.61,3.5,0.0,5.77
2026-04,The Cottage Of Content,7.1,3.6,7.14,3.5,0.0,5.16
2026-04,The Pavilion Coffee Shop And Community Space,8.61,1.29,8.65,2.5,1.5,5.53
2026-04,JNB Cafe,8.49,3.23,7.35,2.5,1.5,5.56
2026-04,Cafe Living,6.98,3.92,5.52,3.5,0.0,4.78
2026-04,Hudson's,8.26,3.11,5.78,2.5,0.0,4.92
2026-04,Barnabys,8.83,3.83,8.93,5.0,0.0,6.4
2026-04,Costa Coffee,8.72,3.0,8.65,1.0,0.0,5.53
2026-04,Deli Cafe,9.53,3.55,9.46,5.0,1.5,6.83
2026-04,Avon Spice,9.42,3.39,8.96,3.5,1.5,6.42
2026-04,The Pickled Crab Deli,9.53,3.22,8.42,5.0,1.5,6.51
2026-04,Nuthurst Grange Country House,7.45,3.6,5.52,2.5,1.5,4.86
2026-04,Peppers,8.26,3.14,7.29,3.5,0.0,5.45
2026-04,George's Cafe,8.61,3.09,7.66,3.5,1.5,5.79
2026-04,Costa Coffee,8.48,1.47,8.79,3.5,0.0,5.56
2026-04,Kitty's Kitchen Catering Ltd,9.53,3.08,7.93,2.5,1.5,5.98
2026-04,Four Seasons Pho Limited,8.14,3.18,7.06,2.5,0.0,5.22
2026-04,Henley Ice Cream Limited,9.65,3.82,7.42,3.5,1.5,6.19
2026-04,Shipston Bengal Cuisine,8.4,3.09,0.0,3.5,0.0,3.66
2026-04,The Keys,9.07,3.46,6.37,1.0,0.0,5.16
2026-04,Kings Court Hotel,10,0.75,8.12,,0.0,6.09
2026-04,Burger King,7.44,3.27,7.69,2.5,0.0,5.18
2026-04,The Fox Inn,9.2,3.34,9.49,3.5,1.5,6.48
2026-04,Shukurs,8.61,3.56,6.47,3.5,1.5,5.59
2026-04,The Lime Tree Restaurant,9.3,3.97,9.26,2.5,0.0,6.27
2026-04,Karen's Korner,7.57,3.04,2.86,1.0,1.5,3.89
2026-04,The Embankment,7.1,3.71,6.95,2.5,0.0,4.98
2026-04,Beleza Rodizio,9.88,3.76,7.68,2.5,1.5,6.16
2026-04,The Bluebell,8.38,3.4,9.51,3.5,3.0,6.4
2026-04,The Cowshed Cafe,8.03,3.45,5.34,3.5,0.0,4.96
2026-04,Dog Lane Fishery Caravanning And Camping Site,8.49,3.38,6.63,2.5,1.5,5.41
2026-04,Touchdown Cafe,9.53,3.78,5.9,3.5,1.5,5.77
2026-04,The Roebuck Inn Alcester,,,6.12,,0.0,4.37
2026-04,Fast Flavour,8.49,2.58,8.78,2.5,1.5,5.78
2026-04,Cafe 86B,8.84,2.73,8.37,2.5,1.5,5.82
2026-04,Puddleduck Cafe Ltd,9.88,2.92,8.75,,1.5,6.92
2026-04,The Kingfisher FishBar,9.42,3.46,8.04,5.0,1.5,6.43
2026-04,The Red Lion,9.65,3.35,9.24,2.5,1.5,6.4
2026-04,Harbury Library Cafe,8.96,2.57,8.5,2.5,1.5,5.85
2026-04,Chrissie's Kitchen,10,2.94,7.92,1.5,1.5,5.94
2026-04,McDonald's,8.6,3.92,7.62,3.5,0.0,5.79
2026-04,Starbucks,8.6,3.57,9.89,3.5,0.0,6.29
2026-04,Chapter 23,9.65,3.0,8.19,2.5,1.5,6.07
2026-04,NO4 Bar And Restaurant,8.61,3.22,7.89,2.5,1.5,5.72
2026-04,The Still House Café,9.65,2.85,7.58,4.0,1.5,6.11
2026-04,Prospero Lounge,9.3,3.66,7.88,3.5,0.0,6.02
2026-04,Four Teas,7.33,3.93,6.35,3.5,1.5,5.25
2026-04,Curry Republic,7.33,2.64,5.9,5.0,1.5,5.1
2026-04,Lily's,8.72,3.06,7.37,2.5,1.5,5.6
2026-04,Pickled & Tipsy's Cafe,9.65,2.53,8.32,4.0,1.5,6.23
2026-04,DoubleTree By Hilton,8.14,3.86,7.33,,0.0,5.94
2026-04,Cardamom,9.53,3.42,8.52,5.0,1.5,6.57
2026-04,11/17 Salt Beef Bar,9.77,2.95,8.82,,1.5,6.91
2026-04,WINGERS STRATFORD,9.3,2.71,7.0,2.5,0.0,5.46
2026-04,Mr Odie's,8.96,2.98,7.8,2.5,1.5,5.76
2026-04,The Bull's Head,9.53,3.65,8.17,3.5,1.5,6.31
2026-04,The Tempest,7.57,3.07,6.97,2.5,1.5,5.15
2026-04,Hussains,9.18,3.41,8.05,5.0,0.0,6.2
2026-04,The Water Margin @ The Hollybush,8.14,2.91,6.23,4.0,0.0,5.18
2026-04,Greggs PLC,8.37,2.84,9.23,3.5,0.0,5.91
2026-04,Mouchak,7.68,2.29,5.4,2.5,1.5,4.64
2026-04,No 37 Cafe,9.18,3.49,9.51,3.5,0.0,6.35
2026-04,Costa,9.18,3.36,9.2,3.5,0.0,6.25
2026-04,The Food Of Love,9.18,3.3,8.1,5.0,0.0,6.19
2026-04,Burger King - Southbound,7.79,4.0,7.87,2.5,0.0,5.48
2026-04,Red Hot Mamma Pizzeria,9.77,3.74,8.45,2.5,1.5,6.32
2026-04,Coffee Clouds,8.49,3.39,8.32,3.5,1.5,5.98
2026-04,Nanas Caff,10,,8.2,2.5,0.0,6.78
2026-04,The Stables,8.49,3.01,8.54,,1.5,6.39
2026-04,Nel's At The Pavilion,9.65,3.51,9.39,3.5,1.5,6.62
2026-04,Stratford Adventure Golf,9.3,3.37,8.05,2.5,0.0,5.85
2026-04,Arrow Mill,9.42,4.0,9.7,3.5,1.5,6.73
2026-04,Digby's Events,10,,8.4,,0.0,7.85
2026-04,Turkish Stonebakers,8.72,3.37,5.87,2.5,1.5,5.28
2026-04,Burger King - Northbound,6.5,2.87,8.83,3.5,0.0,5.26
2026-04,Bruno's Bakery,8.49,3.36,8.69,5.0,1.5,6.29
2026-04,Feel Good Crystals,9.88,3.03,8.42,2.5,1.5,6.2
2026-04,Annie's Cafe & Event Catering,9.42,2.99,8.17,2.5,1.5,5.99
2026-04,Compton Verney Cafe,7.5,0.9,8.12,2.5,0.0,4.83
2026-04,The Buck And Bell,8.38,3.41,5.93,3.5,1.5,5.35
2026-04,Thespians Indian Restaurant,7.79,3.59,7.2,3.5,0.0,5.38
2026-04,Sorrento Restaurant Taste Of Italy,7.33,3.49,6.28,3.5,1.5,5.14
2026-04,Crowne Plaza,9.18,4.0,7.79,,0.0,6.47
2026-04,Cotswold Cafe,9.65,3.33,8.81,3.5,1.5,6.44
2026-04,Espresso Barn,9.42,3.54,9.06,2.5,1.5,6.32
2026-04,Hotel Indigo And The Woodsman,8.61,3.71,8.4,,1.5,6.56
2026-04,Miller And Carter,9.77,4.0,7.59,3.5,1.5,6.3
2026-04,Bishops Bowls Lake Cafe,7.45,3.13,5.72,2.5,1.5,4.82
2026-04,Ashorne Hill Management College,9.42,3.54,9.31,,1.5,7.07
2026-04,Revs Automobilia,8.61,3.07,8.46,2.5,1.5,5.84
2026-04,The Garden Shed Cafe,7.45,3.54,7.38,3.5,1.5,5.46
2026-04,Elders Who Lunch (Hartley Locums),8.72,1.17,7.93,2.5,1.5,5.36
2026-04,Premier Inn,8.95,3.72,9.32,,0.0,6.78
2026-04,Arden Tandoori,8.49,3.24,7.68,3.5,1.5,5.79
2026-04,Bella Italia Also Trading As Super Nonna,9.18,3.78,7.59,1.0,0.0,5.56
2026-04,Earlswood Lunch Club,8.14,2.64,7.78,,0.0,5.78
2026-04,Building 523 Costa And Kitchen,9.65,3.6,8.0,,1.5,6.78
2026-04,Alveston Manor Hotel,8.72,3.99,8.52,,0.0,6.52
2026-04,Billesley Manor Hotel,8.03,3.83,7.86,,0.0,6.05
2026-04,Sushi Land,8.49,3.13,7.42,2.5,1.5,5.55
2026-04,Caffe Nero,8.03,3.46,7.44,3.5,0.0,5.49
2026-04,Plantarium,8.84,3.59,7.61,3.5,1.5,5.95
2026-04,Shipston Pizza And Kebab House,6.87,2.6,6.09,4.0,0.0,4.7
2026-04,Studley Castle,9.42,3.95,7.61,,1.5,6.67
2026-04,China Garden,5.93,3.14,5.17,3.5,0.0,4.22
2026-04,Libertine Burger,8.26,3.22,7.59,2.5,0.0,5.39
2026-04,Kolshi Restaurant,8.72,3.68,8.74,2.5,1.5,6.06
2026-04,Loxleys Restaurant And Wine Bar,8.61,3.94,9.03,3.5,1.5,6.3
2026-04,Vintner Wine Bar,8.73,9.73,7.2,5.5,1.5,7.34
2026-04,Simla Takeaway,8.83,5.06,8.12,6.0,0.0,6.59
